,identifier,response_id,sentence_number,token_number,token,lemma,pos
31,Q10_R_2OVxUcnSQ8BFaqa_0_11,R_2OVxUcnSQ8BFaqa,0,11,heel,heel,ADJ
32,Q10_R_2OVxUcnSQ8BFaqa_0_12,R_2OVxUcnSQ8BFaqa,0,12,boek,boek,NOUN
33,Q10_R_2OVxUcnSQ8BFaqa_0_13,R_2OVxUcnSQ8BFaqa,0,13,gaan,gaan,VERB
34,Q10_R_2OVxUcnSQ8BFaqa_0_14,R_2OVxUcnSQ8BFaqa,0,14,lezen,lezen,VERB
35,Q10_R_2OVxUcnSQ8BFaqa_0_15,R_2OVxUcnSQ8BFaqa,0,15,?,?,PUNCT
36,Q10_R_2OVxUcnSQ8BFaqa_1_0,R_2OVxUcnSQ8BFaqa,1,0,Bonne,Bonne,SYM
37,Q10_R_2OVxUcnSQ8BFaqa_1_1,R_2OVxUcnSQ8BFaqa,1,1,chance,chance,SYM
38,Q10_R_2OVxUcnSQ8BFaqa_1_2,R_2OVxUcnSQ8BFaqa,1,2,!,!,PUNCT
39,Q10_R_2b0CIkQZZJq6ey6_0_0,R_2b0CIkQZZJq6ey6,0,0,In,in,ADP
40,Q10_R_2b0CIkQZZJq6ey6_0_1,R_2b0CIkQZZJq6ey6,0,1,meer,veel,PRON
41,Q10_R_2b0CIkQZZJq6ey6_0_2,R_2b0CIkQZZJq6ey6,0,2,en,en,CCONJ
42,Q10_R_2b0CIkQZZJq6ey6_0_3,R_2b0CIkQZZJq6ey6,0,3,mindere,minder,ADJ
43,Q10_R_2b0CIkQZZJq6ey6_0_4,R_2b0CIkQZZJq6ey6,0,4,mate,mate,NOUN
44,Q10_R_2b0CIkQZZJq6ey6_0_5,R_2b0CIkQZZJq6ey6,0,5,",",",",PUNCT
45,Q10_R_2b0CIkQZZJq6ey6_0_6,R_2b0CIkQZZJq6ey6,0,6,al,al,ADV
46,Q10_R_2b0CIkQZZJq6ey6_0_7,R_2b0CIkQZZJq6ey6,0,7,dan,dan,ADV
47,Q10_R_2b0CIkQZZJq6ey6_0_8,R_2b0CIkQZZJq6ey6,0,8,niet,niet,ADV
48,Q10_R_2b0CIkQZZJq6ey6_0_9,R_2b0CIkQZZJq6ey6,0,9,anthologisch,anthologisch,ADJ
49,Q10_R_2b0CIkQZZJq6ey6_0_10,R_2b0CIkQZZJq6ey6,0,10,.,.,PUNCT
50,Q10_R_3KC9NOZtxz4yZNY_0_0,R_3KC9NOZtxz4yZNY,0,0,Literatuur,literatuur,NOUN
51,Q10_R_3KC9NOZtxz4yZNY_0_1,R_3KC9NOZtxz4yZNY,0,1,is,zijn,AUX
52,Q10_R_3KC9NOZtxz4yZNY_0_2,R_3KC9NOZtxz4yZNY,0,2,niet,niet,ADV
53,Q10_R_3KC9NOZtxz4yZNY_0_3,R_3KC9NOZtxz4yZNY,0,3,alleen,alleen,ADV
54,Q10_R_3KC9NOZtxz4yZNY_0_4,R_3KC9NOZtxz4yZNY,0,4,een,een,DET
55,Q10_R_3KC9NOZtxz4yZNY_0_5,R_3KC9NOZtxz4yZNY,0,5,(,(,NOUN
56,Q10_R_3KC9NOZtxz4yZNY_0_6,R_3KC9NOZtxz4yZNY,0,6,v,v,NOUN
57,Q10_R_3KC9NOZtxz4yZNY_0_7,R_3KC9NOZtxz4yZNY,0,7,),),NOUN
58,Q10_R_3KC9NOZtxz4yZNY_0_8,R_3KC9NOZtxz4yZNY,0,8,wo-aangelegenheid,woaangelegenheid,NOUN
59,Q10_R_3KC9NOZtxz4yZNY_0_9,R_3KC9NOZtxz4yZNY,0,9,",",",",PUNCT
60,Q10_R_3KC9NOZtxz4yZNY_0_10,R_3KC9NOZtxz4yZNY,0,10,literatuur,literatuur,NOUN
61,Q10_R_3KC9NOZtxz4yZNY_0_11,R_3KC9NOZtxz4yZNY,0,11,is,zijn,AUX
62,Q10_R_3KC9NOZtxz4yZNY_0_12,R_3KC9NOZtxz4yZNY,0,12,van,van,ADP
63,Q10_R_3KC9NOZtxz4yZNY_0_13,R_3KC9NOZtxz4yZNY,0,13,en,en,CCONJ
64,Q10_R_3KC9NOZtxz4yZNY_0_14,R_3KC9NOZtxz4yZNY,0,14,voor,voor,ADP
65,Q10_R_3KC9NOZtxz4yZNY_0_15,R_3KC9NOZtxz4yZNY,0,15,iedereen,iedereen,PRON
66,Q10_R_3KC9NOZtxz4yZNY_0_16,R_3KC9NOZtxz4yZNY,0,16,.,.,PUNCT
67,Q10_R_25AYySSQF2YfL2D_0_0,R_25AYySSQF2YfL2D,0,0,jong,jong,ADJ
68,Q10_R_25AYySSQF2YfL2D_0_1,R_25AYySSQF2YfL2D,0,1,geleerd,leren,VERB
69,Q10_R_25AYySSQF2YfL2D_0_2,R_25AYySSQF2YfL2D,0,2,",",",",PUNCT
70,Q10_R_25AYySSQF2YfL2D_0_3,R_25AYySSQF2YfL2D,0,3,etc.,etcetera,X
71,Q10_R_WCgHrYOqu4y0lJD_0_0,R_WCgHrYOqu4y0lJD,0,0,overigens,overigens,ADV
72,Q10_R_WCgHrYOqu4y0lJD_0_1,R_WCgHrYOqu4y0lJD,0,1,wat,wat,PRON
73,Q10_R_WCgHrYOqu4y0lJD_0_2,R_WCgHrYOqu4y0lJD,0,2,mij,mij,PRON
74,Q10_R_WCgHrYOqu4y0lJD_0_3,R_WCgHrYOqu4y0lJD,0,3,betreft,betreffen,VERB
75,Q10_R_WCgHrYOqu4y0lJD_0_4,R_WCgHrYOqu4y0lJD,0,4,in,in,ADP
76,Q10_R_WCgHrYOqu4y0lJD_0_5,R_WCgHrYOqu4y0lJD,0,5,aangepaste,aangepaste,VERB
77,Q10_R_WCgHrYOqu4y0lJD_0_6,R_WCgHrYOqu4y0lJD,0,6,vorm,vorm,NOUN
78,Q10_R_WCgHrYOqu4y0lJD_0_7,R_WCgHrYOqu4y0lJD,0,7,",",",",PUNCT
79,Q10_R_WCgHrYOqu4y0lJD_0_8,R_WCgHrYOqu4y0lJD,0,8,behalve,behalve,SCONJ
80,Q10_R_WCgHrYOqu4y0lJD_0_9,R_WCgHrYOqu4y0lJD,0,9,voor,voor,ADP
81,Q10_R_WCgHrYOqu4y0lJD_0_10,R_WCgHrYOqu4y0lJD,0,10,het,het,DET
82,Q10_R_WCgHrYOqu4y0lJD_0_11,R_WCgHrYOqu4y0lJD,0,11,vwo,vwo,NOUN
83,Q10_R_1LB8GwvXpbTlrIF_0_0,R_1LB8GwvXpbTlrIF,0,0,Plus,Plus,PROPN
84,Q10_R_1LB8GwvXpbTlrIF_0_1,R_1LB8GwvXpbTlrIF,0,1,est,est,SYM
85,Q10_R_1LB8GwvXpbTlrIF_0_2,R_1LB8GwvXpbTlrIF,0,2,en,en,CCONJ
86,Q10_R_1LB8GwvXpbTlrIF_0_3,R_1LB8GwvXpbTlrIF,0,3,vous,vous,PROPN
87,Q10_R_1LB8GwvXpbTlrIF_0_4,R_1LB8GwvXpbTlrIF,0,4,",",",",PUNCT
88,Q10_R_1LB8GwvXpbTlrIF_0_5,R_1LB8GwvXpbTlrIF,0,5,elk,elk,DET
89,Q10_R_1LB8GwvXpbTlrIF_0_6,R_1LB8GwvXpbTlrIF,0,6,onderwijsniveau,onderwijniveau,NOUN
90,Q10_R_1LB8GwvXpbTlrIF_0_7,R_1LB8GwvXpbTlrIF,0,7,moet,moeten,AUX
91,Q10_R_1LB8GwvXpbTlrIF_0_8,R_1LB8GwvXpbTlrIF,0,8,dit,dit,PRON
92,Q10_R_1LB8GwvXpbTlrIF_0_9,R_1LB8GwvXpbTlrIF,0,9,aanbieden,aanbieden,VERB
93,Q10_R_1LB8GwvXpbTlrIF_0_10,R_1LB8GwvXpbTlrIF,0,10,.,.,PUNCT
94,Q10_R_28RMBdWtxZlPIby_0_0,R_28RMBdWtxZlPIby,0,0,Wel,wel,ADV
95,Q10_R_28RMBdWtxZlPIby_0_1,R_28RMBdWtxZlPIby,0,1,met,met,ADP
96,Q10_R_28RMBdWtxZlPIby_0_2,R_28RMBdWtxZlPIby,0,2,keuze,keuze,NOUN
97,Q10_R_3R7kTXWEvBoSVfb_0_0,R_3R7kTXWEvBoSVfb,0,0,Er,er,ADV
98,Q10_R_3R7kTXWEvBoSVfb_0_1,R_3R7kTXWEvBoSVfb,0,1,moet,moeten,AUX
99,Q10_R_3R7kTXWEvBoSVfb_0_2,R_3R7kTXWEvBoSVfb,0,2,gekozen,kiezen,VERB
100,Q10_R_3R7kTXWEvBoSVfb_0_3,R_3R7kTXWEvBoSVfb,0,3,worden,worden,AUX
101,Q10_R_3R7kTXWEvBoSVfb_0_4,R_3R7kTXWEvBoSVfb,0,4,voor,voor,ADP
102,Q10_R_3R7kTXWEvBoSVfb_0_5,R_3R7kTXWEvBoSVfb,0,5,relevante,relevant,ADJ
103,Q10_R_3R7kTXWEvBoSVfb_0_6,R_3R7kTXWEvBoSVfb,0,6,fragmenten,fragment,NOUN
104,Q10_R_3R7kTXWEvBoSVfb_0_7,R_3R7kTXWEvBoSVfb,0,7,uit,uit,ADP
105,Q10_R_3R7kTXWEvBoSVfb_0_8,R_3R7kTXWEvBoSVfb,0,8,de,de,DET
106,Q10_R_3R7kTXWEvBoSVfb_0_9,R_3R7kTXWEvBoSVfb,0,9,oorspronkelijke,oorspronkelijk,ADJ
107,Q10_R_3R7kTXWEvBoSVfb_0_10,R_3R7kTXWEvBoSVfb,0,10,tekst,tekst,NOUN
108,Q10_R_3R7kTXWEvBoSVfb_0_11,R_3R7kTXWEvBoSVfb,0,11,en,en,CCONJ
109,Q10_R_3R7kTXWEvBoSVfb_0_12,R_3R7kTXWEvBoSVfb,0,12,(,(,PUNCT
110,Q10_R_3R7kTXWEvBoSVfb_0_13,R_3R7kTXWEvBoSVfb,0,13,literaire,literair,ADJ
111,Q10_R_3R7kTXWEvBoSVfb_0_14,R_3R7kTXWEvBoSVfb,0,14,),),PUNCT
112,Q10_R_3R7kTXWEvBoSVfb_0_15,R_3R7kTXWEvBoSVfb,0,15,adaptaties,adaptatie,NOUN
113,Q10_R_3R7kTXWEvBoSVfb_0_16,R_3R7kTXWEvBoSVfb,0,16,die,die,PRON
114,Q10_R_3R7kTXWEvBoSVfb_0_17,R_3R7kTXWEvBoSVfb,0,17,aansluiten,aansluiten,VERB
115,Q10_R_3R7kTXWEvBoSVfb_0_18,R_3R7kTXWEvBoSVfb,0,18,bij,bij,ADP
116,Q10_R_3R7kTXWEvBoSVfb_0_19,R_3R7kTXWEvBoSVfb,0,19,de,de,DET
117,Q10_R_3R7kTXWEvBoSVfb_0_20,R_3R7kTXWEvBoSVfb,0,20,onderwijsvorm,onderwijsvorm,NOUN
118,Q10_R_3R7kTXWEvBoSVfb_0_21,R_3R7kTXWEvBoSVfb,0,21,en,en,CCONJ
119,Q10_R_3R7kTXWEvBoSVfb_0_22,R_3R7kTXWEvBoSVfb,0,22,leerlingengroep,leerlingengroep,NOUN
120,Q10_R_3R7kTXWEvBoSVfb_0_23,R_3R7kTXWEvBoSVfb,0,23,.,.,PUNCT
121,Q10_R_1ihuARAuexD5ryt_0_0,R_1ihuARAuexD5ryt,0,0,Als,als,SCONJ
122,Q10_R_1ihuARAuexD5ryt_0_1,R_1ihuARAuexD5ryt,0,1,"""","""",PUNCT
123,Q10_R_1ihuARAuexD5ryt_0_2,R_1ihuARAuexD5ryt,0,2,oud,oud,ADJ
124,Q10_R_1ihuARAuexD5ryt_0_3,R_1ihuARAuexD5ryt,0,3,"""","""",PUNCT
125,Q10_R_1ihuARAuexD5ryt_0_4,R_1ihuARAuexD5ryt,0,4,het,het,DET
126,Q10_R_1ihuARAuexD5ryt_0_5,R_1ihuARAuexD5ryt,0,5,doorslaggevende,doorslaggevend,ADJ
127,Q10_R_1ihuARAuexD5ryt_0_6,R_1ihuARAuexD5ryt,0,6,criterium,criterium,NOUN
128,Q10_R_1ihuARAuexD5ryt_0_7,R_1ihuARAuexD5ryt,0,7,is,zijn,AUX
129,Q10_R_1ihuARAuexD5ryt_0_8,R_1ihuARAuexD5ryt,0,8,om,om,ADP
130,Q10_R_1ihuARAuexD5ryt_0_9,R_1ihuARAuexD5ryt,0,9,iets,iets,PRON
131,Q10_R_1ihuARAuexD5ryt_0_10,R_1ihuARAuexD5ryt,0,10,een,een,DET
132,Q10_R_1ihuARAuexD5ryt_0_11,R_1ihuARAuexD5ryt,0,11,klassieker,klassieker,NOUN
133,Q10_R_1ihuARAuexD5ryt_0_12,R_1ihuARAuexD5ryt,0,12,te,te,ADP
134,Q10_R_1ihuARAuexD5ryt_0_13,R_1ihuARAuexD5ryt,0,13,noemen,noemen,VERB
135,Q10_R_1ihuARAuexD5ryt_0_14,R_1ihuARAuexD5ryt,0,14,",",",",PUNCT
136,Q10_R_1ihuARAuexD5ryt_0_15,R_1ihuARAuexD5ryt,0,15,staan,staan,VERB
137,Q10_R_1ihuARAuexD5ryt_0_16,R_1ihuARAuexD5ryt,0,16,de,de,DET
138,Q10_R_1ihuARAuexD5ryt_0_17,R_1ihuARAuexD5ryt,0,17,klassiekers,klassieker,NOUN
139,Q10_R_1ihuARAuexD5ryt_0_18,R_1ihuARAuexD5ryt,0,18,te,te,ADV
140,Q10_R_1ihuARAuexD5ryt_0_19,R_1ihuARAuexD5ryt,0,19,ver,ver,ADJ
141,Q10_R_1ihuARAuexD5ryt_0_20,R_1ihuARAuexD5ryt,0,20,van,van,ADP
142,Q10_R_1ihuARAuexD5ryt_0_21,R_1ihuARAuexD5ryt,0,21,de,de,DET
143,Q10_R_1ihuARAuexD5ryt_0_22,R_1ihuARAuexD5ryt,0,22,leefwereld,leefwereld,NOUN
144,Q10_R_1ihuARAuexD5ryt_0_23,R_1ihuARAuexD5ryt,0,23,en,en,CCONJ
145,Q10_R_1ihuARAuexD5ryt_0_24,R_1ihuARAuexD5ryt,0,24,het,het,DET
146,Q10_R_1ihuARAuexD5ryt_0_25,R_1ihuARAuexD5ryt,0,25,taalgebruik,taalgebruik,NOUN
147,Q10_R_1ihuARAuexD5ryt_0_26,R_1ihuARAuexD5ryt,0,26,van,van,ADP
148,Q10_R_1ihuARAuexD5ryt_0_27,R_1ihuARAuexD5ryt,0,27,vmbo'ers,vmbo'er,NOUN
149,Q10_R_1ihuARAuexD5ryt_0_28,R_1ihuARAuexD5ryt,0,28,af,af,ADP
150,Q10_R_1ihuARAuexD5ryt_0_29,R_1ihuARAuexD5ryt,0,29,.,.,PUNCT
151,Q10_R_1ihuARAuexD5ryt_1_0,R_1ihuARAuexD5ryt,1,0,Havisten,havisten,NOUN
152,Q10_R_1ihuARAuexD5ryt_1_1,R_1ihuARAuexD5ryt,1,1,en,en,CCONJ
153,Q10_R_1ihuARAuexD5ryt_1_2,R_1ihuARAuexD5ryt,1,2,vwo'ers,vwo'er,NOUN
154,Q10_R_1ihuARAuexD5ryt_1_3,R_1ihuARAuexD5ryt,1,3,moeten,moeten,AUX
155,Q10_R_1ihuARAuexD5ryt_1_4,R_1ihuARAuexD5ryt,1,4,hier,hier,ADV
156,Q10_R_1ihuARAuexD5ryt_1_5,R_1ihuARAuexD5ryt,1,5,ten,te,ADP
157,Q10_R_1ihuARAuexD5ryt_1_6,R_1ihuARAuexD5ryt,1,6,minste,weinig,PRON
158,Q10_R_1ihuARAuexD5ryt_1_7,R_1ihuARAuexD5ryt,1,7,kennis,kennis,NOUN
159,Q10_R_1ihuARAuexD5ryt_1_8,R_1ihuARAuexD5ryt,1,8,van,van,ADP
160,Q10_R_1ihuARAuexD5ryt_1_9,R_1ihuARAuexD5ryt,1,9,nemen,nemen,VERB
161,Q10_R_1ihuARAuexD5ryt_1_10,R_1ihuARAuexD5ryt,1,10,.,.,PUNCT
162,Q10_R_5yU9NUzFdYgqOSR_0_0,R_5yU9NUzFdYgqOSR,0,0,Maar,maar,CCONJ
163,Q10_R_5yU9NUzFdYgqOSR_0_1,R_5yU9NUzFdYgqOSR,0,1,kan,kunnen,AUX
164,Q10_R_5yU9NUzFdYgqOSR_0_2,R_5yU9NUzFdYgqOSR,0,2,ook,ook,ADV
165,Q10_R_5yU9NUzFdYgqOSR_0_3,R_5yU9NUzFdYgqOSR,0,3,in,in,ADP
166,Q10_R_5yU9NUzFdYgqOSR_0_4,R_5yU9NUzFdYgqOSR,0,4,goede,goed,ADJ
167,Q10_R_5yU9NUzFdYgqOSR_0_5,R_5yU9NUzFdYgqOSR,0,5,hertaling,hertaling,NOUN
168,Q10_R_1FG7twYtwslBRBw_0_0,R_1FG7twYtwslBRBw,0,0,Liever,liever,ADV
169,Q10_R_1FG7twYtwslBRBw_0_1,R_1FG7twYtwslBRBw,0,1,dat,dat,SCONJ
170,Q10_R_1FG7twYtwslBRBw_0_2,R_1FG7twYtwslBRBw,0,2,ze,ze,PRON
171,Q10_R_1FG7twYtwslBRBw_0_3,R_1FG7twYtwslBRBw,0,3,boeken,boek,NOUN
172,Q10_R_1FG7twYtwslBRBw_0_4,R_1FG7twYtwslBRBw,0,4,lezen,lezen,VERB
173,Q10_R_1FG7twYtwslBRBw_0_5,R_1FG7twYtwslBRBw,0,5,die,die,PRON
174,Q10_R_1FG7twYtwslBRBw_0_6,R_1FG7twYtwslBRBw,0,6,hen,hen,PRON
175,Q10_R_1FG7twYtwslBRBw_0_7,R_1FG7twYtwslBRBw,0,7,aan,aan,ADP
176,Q10_R_1FG7twYtwslBRBw_0_8,R_1FG7twYtwslBRBw,0,8,het,het,DET
177,Q10_R_1FG7twYtwslBRBw_0_9,R_1FG7twYtwslBRBw,0,9,hart,hart,NOUN
178,Q10_R_1FG7twYtwslBRBw_0_10,R_1FG7twYtwslBRBw,0,10,liggen,liggen,VERB
179,Q10_R_1FG7twYtwslBRBw_0_11,R_1FG7twYtwslBRBw,0,11,dan,dan,SCONJ
180,Q10_R_1FG7twYtwslBRBw_0_12,R_1FG7twYtwslBRBw,0,12,dat,dat,SCONJ
181,Q10_R_1FG7twYtwslBRBw_0_13,R_1FG7twYtwslBRBw,0,13,ze,ze,PRON
182,Q10_R_1FG7twYtwslBRBw_0_14,R_1FG7twYtwslBRBw,0,14,met,met,ADP
183,Q10_R_1FG7twYtwslBRBw_0_15,R_1FG7twYtwslBRBw,0,15,veel,veel,DET
184,Q10_R_1FG7twYtwslBRBw_0_16,R_1FG7twYtwslBRBw,0,16,pijn,pijn,NOUN
185,Q10_R_1FG7twYtwslBRBw_0_17,R_1FG7twYtwslBRBw,0,17,",",",",PUNCT
186,Q10_R_1FG7twYtwslBRBw_0_18,R_1FG7twYtwslBRBw,0,18,moeite,moeite,NOUN
187,Q10_R_1FG7twYtwslBRBw_0_19,R_1FG7twYtwslBRBw,0,19,en,en,CCONJ
188,Q10_R_1FG7twYtwslBRBw_0_20,R_1FG7twYtwslBRBw,0,20,dwang,dwang,NOUN
189,Q10_R_1FG7twYtwslBRBw_0_21,R_1FG7twYtwslBRBw,0,21,een,een,DET
190,Q10_R_1FG7twYtwslBRBw_0_22,R_1FG7twYtwslBRBw,0,22,klassieker,klassieker,NOUN
191,Q10_R_1FG7twYtwslBRBw_0_23,R_1FG7twYtwslBRBw,0,23,door,door,ADP
192,Q10_R_1FG7twYtwslBRBw_0_24,R_1FG7twYtwslBRBw,0,24,moeten,moeten,AUX
193,Q10_R_1FG7twYtwslBRBw_0_25,R_1FG7twYtwslBRBw,0,25,ploegen,ploeg,VERB
194,Q10_R_1FG7twYtwslBRBw_0_26,R_1FG7twYtwslBRBw,0,26,.,.,PUNCT
195,Q10_R_1FG7twYtwslBRBw_1_0,R_1FG7twYtwslBRBw,1,0,Bespreek,Bespreek,VERB
196,Q10_R_1FG7twYtwslBRBw_1_1,R_1FG7twYtwslBRBw,1,1,ze,ze,PRON
197,Q10_R_1FG7twYtwslBRBw_1_2,R_1FG7twYtwslBRBw,1,2,",",",",PUNCT
198,Q10_R_1FG7twYtwslBRBw_1_3,R_1FG7twYtwslBRBw,1,3,maar,maar,CCONJ
199,Q10_R_1FG7twYtwslBRBw_1_4,R_1FG7twYtwslBRBw,1,4,dat,dat,PRON
200,Q10_R_1FG7twYtwslBRBw_1_5,R_1FG7twYtwslBRBw,1,5,kan,kunnen,AUX
201,Q10_R_1FG7twYtwslBRBw_1_6,R_1FG7twYtwslBRBw,1,6,ook,ook,ADV
202,Q10_R_1FG7twYtwslBRBw_1_7,R_1FG7twYtwslBRBw,1,7,op,op,ADP
203,Q10_R_1FG7twYtwslBRBw_1_8,R_1FG7twYtwslBRBw,1,8,een,een,DET
204,Q10_R_1FG7twYtwslBRBw_1_9,R_1FG7twYtwslBRBw,1,9,hele,heel,ADJ
205,Q10_R_1FG7twYtwslBRBw_1_10,R_1FG7twYtwslBRBw,1,10,andere,ander,ADJ
206,Q10_R_1FG7twYtwslBRBw_1_11,R_1FG7twYtwslBRBw,1,11,manier,manier,NOUN
207,Q10_R_1FG7twYtwslBRBw_1_12,R_1FG7twYtwslBRBw,1,12,dan,dan,ADV
208,Q10_R_1FG7twYtwslBRBw_1_13,R_1FG7twYtwslBRBw,1,13,puur,puur,ADJ
209,Q10_R_1FG7twYtwslBRBw_1_14,R_1FG7twYtwslBRBw,1,14,alleen,alleen,ADV
210,Q10_R_1FG7twYtwslBRBw_1_15,R_1FG7twYtwslBRBw,1,15,iedereen,iedereen,PRON
211,Q10_R_1FG7twYtwslBRBw_1_16,R_1FG7twYtwslBRBw,1,16,zelfstandig,zelfstandig,ADJ
212,Q10_R_1FG7twYtwslBRBw_1_17,R_1FG7twYtwslBRBw,1,17,het,het,DET
213,Q10_R_1FG7twYtwslBRBw_1_18,R_1FG7twYtwslBRBw,1,18,boek,boek,NOUN
214,Q10_R_1FG7twYtwslBRBw_1_19,R_1FG7twYtwslBRBw,1,19,laten,laten,VERB
215,Q10_R_1FG7twYtwslBRBw_1_20,R_1FG7twYtwslBRBw,1,20,lezen,lezen,VERB
216,Q10_R_1FG7twYtwslBRBw_1_21,R_1FG7twYtwslBRBw,1,21,.,.,PUNCT
217,Q10_R_1OZGgGNpI9GfAP3_0_0,R_1OZGgGNpI9GfAP3,0,0,Dat,dat,PRON
218,Q10_R_1OZGgGNpI9GfAP3_0_1,R_1OZGgGNpI9GfAP3,0,1,behoeft,behoeven,VERB
219,Q10_R_1OZGgGNpI9GfAP3_0_2,R_1OZGgGNpI9GfAP3,0,2,geen,geen,DET
220,Q10_R_1OZGgGNpI9GfAP3_0_3,R_1OZGgGNpI9GfAP3,0,3,betoog,betoog,NOUN
221,Q10_R_21mvgA13BcdJZC8_0_0,R_21mvgA13BcdJZC8,0,0,Belangrijker,Belangrijker,ADJ
222,Q10_R_21mvgA13BcdJZC8_0_1,R_21mvgA13BcdJZC8,0,1,dan,dan,SCONJ
223,Q10_R_21mvgA13BcdJZC8_0_2,R_21mvgA13BcdJZC8,0,2,het,het,DET
224,Q10_R_21mvgA13BcdJZC8_0_3,R_21mvgA13BcdJZC8,0,3,effectief,effectief,ADJ
225,Q10_R_21mvgA13BcdJZC8_0_4,R_21mvgA13BcdJZC8,0,4,lezen,lezen,VERB
226,Q10_R_21mvgA13BcdJZC8_0_5,R_21mvgA13BcdJZC8,0,5,van,van,ADP
227,Q10_R_21mvgA13BcdJZC8_0_6,R_21mvgA13BcdJZC8,0,6,een,een,DET
228,Q10_R_21mvgA13BcdJZC8_0_7,R_21mvgA13BcdJZC8,0,7,werk,werk,NOUN
229,Q10_R_21mvgA13BcdJZC8_0_8,R_21mvgA13BcdJZC8,0,8,vind,vinden,VERB
230,Q10_R_21mvgA13BcdJZC8_0_9,R_21mvgA13BcdJZC8,0,9,ik,ik,PRON
231,Q10_R_21mvgA13BcdJZC8_0_10,R_21mvgA13BcdJZC8,0,10,het,het,PRON
232,Q10_R_21mvgA13BcdJZC8_0_11,R_21mvgA13BcdJZC8,0,11,in,in,ADP
233,Q10_R_21mvgA13BcdJZC8_0_12,R_21mvgA13BcdJZC8,0,12,contact,contact,NOUN
234,Q10_R_21mvgA13BcdJZC8_0_13,R_21mvgA13BcdJZC8,0,13,brengen,brengen,VERB
